Date,County,Primary Area of Practice,Activities in Medicine,Count of Physicians
7/1/20,Alameda,Oncology - Primary,Patient Care - 30-39 Hours,8
7/1/20,Alameda,Oncology - Primary,Patient Care - 40+ Hours,28
7/1/20,Alameda,Oncology - Primary,Patient Care - None,3
7/1/20,Alameda,Ophthalmology - Primary,Patient Care - 1-9 Hours,8
7/1/20,Alameda,Ophthalmology - Primary,Patient Care - 10-19 Hours,4
7/1/20,Alameda,Ophthalmology - Primary,Patient Care - 20-29 Hours,12
7/1/20,Alameda,Ophthalmology - Primary,Patient Care - 30-39 Hours,39
7/1/20,Alameda,Ophthalmology - Primary,Patient Care - 40+ Hours,38
7/1/20,Alameda,Ophthalmology - Primary,Patient Care - None,8
7/1/20,Alameda,Orthopedic Surgery - Primary,No Response,1
7/1/20,Alameda,Orthopedic Surgery - Primary,Patient Care - 1-9 Hours,2
7/1/20,Alameda,Orthopedic Surgery - Primary,Patient Care - 10-19 Hours,8
7/1/20,Alameda,Orthopedic Surgery - Primary,Patient Care - 20-29 Hours,8
7/1/20,Alameda,Orthopedic Surgery - Primary,Patient Care - 30-39 Hours,20
7/1/20,Alameda,Orthopedic Surgery - Primary,Patient Care - 40+ Hours,71
7/1/20,Alameda,Orthopedic Surgery - Primary,Patient Care - None,4
7/1/20,Alameda,Otolaryngology - Primary,Patient Care - 1-9 Hours,2
7/1/20,Alameda,Otolaryngology - Primary,Patient Care - 10-19 Hours,2
7/1/20,Alameda,Otolaryngology - Primary,Patient Care - 20-29 Hours,3
7/1/20,Alameda,Otolaryngology - Primary,Patient Care - 30-39 Hours,12
7/1/20,Alameda,Otolaryngology - Primary,Patient Care - 40+ Hours,24
7/1/20,Alameda,Otolaryngology - Primary,Patient Care - None,4
7/1/20,Alameda,Pathology - Primary,Patient Care - 1-9 Hours,4
7/1/20,Alameda,Pathology - Primary,Patient Care - 10-19 Hours,1
7/1/20,Alameda,Pathology - Primary,Patient Care - 20-29 Hours,8
7/1/20,Alameda,Pathology - Primary,Patient Care - 30-39 Hours,16
7/1/20,Alameda,Pathology - Primary,Patient Care - 40+ Hours,32
7/1/20,Alameda,Pathology - Primary,Patient Care - None,14
7/1/20,Alameda,Pediatrics - Primary,No Response,6
7/1/20,Alameda,Pediatrics - Primary,Patient Care - 1-9 Hours,29
7/1/20,Alameda,Pediatrics - Primary,Patient Care - 10-19 Hours,45
7/1/20,Alameda,Pediatrics - Primary,Patient Care - 20-29 Hours,132
7/1/20,Alameda,Pediatrics - Primary,Patient Care - 30-39 Hours,186
7/1/20,Alameda,Pediatrics - Primary,Patient Care - 40+ Hours,147
7/1/20,Alameda,Pediatrics - Primary,Patient Care - None,45
7/1/20,Alameda,Physical Medicine and Rehabilitation - Primary,Patient Care - 1-9 Hours,1
7/1/20,Alameda,Physical Medicine and Rehabilitation - Primary,Patient Care - 10-19 Hours,3
7/1/20,Alameda,Physical Medicine and Rehabilitation - Primary,Patient Care - 20-29 Hours,4
7/1/20,Alameda,Physical Medicine and Rehabilitation - Primary,Patient Care - 30-39 Hours,21
7/1/20,Alameda,Physical Medicine and Rehabilitation - Primary,Patient Care - 40+ Hours,20
7/1/20,Alameda,Physical Medicine and Rehabilitation - Primary,Patient Care - None,1
7/1/20,Alameda,Plastic Surgery - Primary,Patient Care - 10-19 Hours,1
7/1/20,Alameda,Plastic Surgery - Primary,Patient Care - 20-29 Hours,4
7/1/20,Alameda,Plastic Surgery - Primary,Patient Care - 30-39 Hours,4
7/1/20,Alameda,Plastic Surgery - Primary,Patient Care - 40+ Hours,13
7/1/20,Alameda,Psychiatry - Primary,No Response,3
7/1/20,Alameda,Psychiatry - Primary,Patient Care - 1-9 Hours,24
7/1/20,Alameda,Psychiatry - Primary,Patient Care - 10-19 Hours,52
7/1/20,Alameda,Psychiatry - Primary,Patient Care - 20-29 Hours,58
7/1/20,Alameda,Psychiatry - Primary,Patient Care - 30-39 Hours,84
7/1/20,Alameda,Psychiatry - Primary,Patient Care - 40+ Hours,83
7/1/20,Alameda,Psychiatry - Primary,Patient Care - None,25
7/1/20,Alameda,Pulmonary - Primary,Patient Care - 1-9 Hours,5
7/1/20,Alameda,Pulmonary - Primary,Patient Care - 10-19 Hours,5
7/1/20,Alameda,Pulmonary - Primary,Patient Care - 20-29 Hours,6
7/1/20,Alameda,Pulmonary - Primary,Patient Care - 30-39 Hours,10
7/1/20,Alameda,Pulmonary - Primary,Patient Care - 40+ Hours,17
7/1/20,Alameda,Pulmonary - Primary,Patient Care - None,2
7/1/20,Alameda,Radiology - Primary,No Response,2
7/1/20,Alameda,Radiology - Primary,Patient Care - 1-9 Hours,3
7/1/20,Alameda,Radiology - Primary,Patient Care - 10-19 Hours,4
7/1/20,Alameda,Radiology - Primary,Patient Care - 20-29 Hours,10
7/1/20,Alameda,Radiology - Primary,Patient Care - 30-39 Hours,18
7/1/20,Alameda,Radiology - Primary,Patient Care - 40+ Hours,57
7/1/20,Alameda,Radiology - Primary,Patient Care - None,17
7/1/20,Alameda,Urology - Primary,Patient Care - 10-19 Hours,1
7/1/20,Alameda,Urology - Primary,Patient Care - 20-29 Hours,5
7/1/20,Alameda,Urology - Primary,Patient Care - 30-39 Hours,7
7/1/20,Alameda,Urology - Primary,Patient Care - 40+ Hours,21
7/1/20,Alameda,Urology - Primary,Patient Care - None,3
7/1/20,Alpine,All Other Specialties,Patient Care - 1-9 Hours,1
7/1/20,Alpine,All Other Specialties,Patient Care - 10-19 Hours,1
7/1/20,Alpine,All Other Specialties,Patient Care - 40+ Hours,1
7/1/20,Alpine,No Response,Patient Care - None,1
7/1/20,Amador,All Other Specialties,Patient Care - 1-9 Hours,1
7/1/20,Amador,All Other Specialties,Patient Care - 10-19 Hours,1
7/1/20,Amador,All Other Specialties,Patient Care - 30-39 Hours,2
7/1/20,Amador,All Other Specialties,Patient Care - 40+ Hours,1
7/1/20,Amador,Anesthesiology - Primary,Patient Care - 10-19 Hours,1
7/1/20,Amador,Anesthesiology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Amador,Anesthesiology - Primary,Patient Care - 40+ Hours,2
7/1/20,Amador,Cardiology - Primary,Patient Care - 40+ Hours,1
7/1/20,Amador,Dermatology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Amador,Dermatology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Amador,Emergency Medicine - Primary,Patient Care - 10-19 Hours,1
7/1/20,Amador,Emergency Medicine - Primary,Patient Care - 30-39 Hours,1
7/1/20,Amador,Emergency Medicine - Primary,Patient Care - 40+ Hours,1
7/1/20,Amador,Family Medicine - Primary,Patient Care - 1-9 Hours,1
7/1/20,Amador,Family Medicine - Primary,Patient Care - 30-39 Hours,4
7/1/20,Amador,Family Medicine - Primary,Patient Care - 40+ Hours,8
7/1/20,Amador,General Practice - Primary,Patient Care - 20-29 Hours,1
7/1/20,Amador,General Surgery - Primary,Patient Care - 1-9 Hours,1
7/1/20,Amador,General Surgery - Primary,Patient Care - 40+ Hours,1
7/1/20,Amador,General Surgery - Primary,Patient Care - None,2
7/1/20,Amador,Internal Medicine - Primary,Patient Care - 1-9 Hours,2
7/1/20,Amador,Internal Medicine - Primary,Patient Care - 20-29 Hours,2
7/1/20,Amador,Internal Medicine - Primary,Patient Care - 30-39 Hours,1
7/1/20,Amador,Internal Medicine - Primary,Patient Care - 40+ Hours,10
7/1/20,Amador,Internal Medicine - Primary,Patient Care - None,1
7/1/20,Amador,Neurology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Amador,No Response,Patient Care - 1-9 Hours,2
7/1/20,Amador,No Response,Patient Care - 20-29 Hours,2
7/1/20,Amador,No Response,Patient Care - 30-39 Hours,5
7/1/20,Amador,No Response,Patient Care - 40+ Hours,5
7/1/20,Amador,Obstetrics and Gynecology - Primary,Patient Care - 1-9 Hours,1
7/1/20,Amador,Obstetrics and Gynecology - Primary,Patient Care - 40+ Hours,1
7/1/20,Amador,Obstetrics and Gynecology - Primary,Patient Care - None,1
7/1/20,Amador,Orthopedic Surgery - Primary,Patient Care - 30-39 Hours,1
7/1/20,Amador,Orthopedic Surgery - Primary,Patient Care - 40+ Hours,1
7/1/20,Amador,Otolaryngology - Primary,Patient Care - None,1
7/1/20,Amador,Pediatrics - Primary,Patient Care - 1-9 Hours,1
7/1/20,Amador,Pediatrics - Primary,Patient Care - 10-19 Hours,1
7/1/20,Amador,Pediatrics - Primary,Patient Care - 30-39 Hours,1
7/1/20,Amador,Pediatrics - Primary,Patient Care - 40+ Hours,1
7/1/20,Amador,Psychiatry - Primary,Patient Care - 1-9 Hours,1
7/1/20,Amador,Psychiatry - Primary,Patient Care - 30-39 Hours,1
7/1/20,Amador,Psychiatry - Primary,Patient Care - 40+ Hours,3
7/1/20,Amador,Psychiatry - Primary,Patient Care - None,1
7/1/20,Amador,Radiology - Primary,Patient Care - 40+ Hours,1
7/1/20,Butte,All Other Specialties,Patient Care - 1-9 Hours,6
7/1/20,Butte,All Other Specialties,Patient Care - 10-19 Hours,1
7/1/20,Butte,All Other Specialties,Patient Care - 20-29 Hours,9
7/1/20,Butte,All Other Specialties,Patient Care - 30-39 Hours,4
7/1/20,Butte,All Other Specialties,Patient Care - 40+ Hours,27
7/1/20,Butte,All Other Specialties,Patient Care - None,3
7/1/20,Butte,Anesthesiology - Primary,Patient Care - 1-9 Hours,2
7/1/20,Butte,Anesthesiology - Primary,Patient Care - 40+ Hours,28
7/1/20,Butte,Cardiology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Butte,Cardiology - Primary,Patient Care - 40+ Hours,12
7/1/20,Butte,Cardiology - Primary,Patient Care - None,1
7/1/20,Butte,Dermatology - Primary,Patient Care - 30-39 Hours,4
7/1/20,Butte,Emergency Medicine - Primary,Patient Care - 1-9 Hours,1
7/1/20,Butte,Emergency Medicine - Primary,Patient Care - 20-29 Hours,2
7/1/20,Butte,Emergency Medicine - Primary,Patient Care - 30-39 Hours,15
7/1/20,Butte,Emergency Medicine - Primary,Patient Care - 40+ Hours,8
7/1/20,Butte,Emergency Medicine - Primary,Patient Care - None,3
7/1/20,Butte,Endocrinology - Primary,Patient Care - 1-9 Hours,1
7/1/20,Butte,Endocrinology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Butte,Family Medicine - Primary,No Response,1
7/1/20,Butte,Family Medicine - Primary,Patient Care - 1-9 Hours,4
7/1/20,Butte,Family Medicine - Primary,Patient Care - 20-29 Hours,3
7/1/20,Butte,Family Medicine - Primary,Patient Care - 30-39 Hours,11
7/1/20,Butte,Family Medicine - Primary,Patient Care - 40+ Hours,19
7/1/20,Butte,Family Medicine - Primary,Patient Care - None,3
7/1/20,Butte,Gastroenterology - Primary,No Response,1
7/1/20,Butte,Gastroenterology - Primary,Patient Care - 40+ Hours,7
7/1/20,Butte,General Practice - Primary,Patient Care - 1-9 Hours,3
7/1/20,Butte,General Practice - Primary,Patient Care - 10-19 Hours,1
7/1/20,Butte,General Practice - Primary,Patient Care - 20-29 Hours,2
7/1/20,Butte,General Practice - Primary,Patient Care - 30-39 Hours,2
7/1/20,Butte,General Practice - Primary,Patient Care - 40+ Hours,8
7/1/20,Butte,General Practice - Primary,Patient Care - None,1
7/1/20,Butte,General Surgery - Primary,Patient Care - 10-19 Hours,1
7/1/20,Butte,General Surgery - Primary,Patient Care - 30-39 Hours,2
7/1/20,Butte,General Surgery - Primary,Patient Care - 40+ Hours,10
7/1/20,Butte,General Surgery - Primary,Patient Care - None,1
7/1/20,Butte,Infectious Disease - Primary,Patient Care - 30-39 Hours,1
7/1/20,Butte,Internal Medicine - Primary,Patient Care - 1-9 Hours,3
7/1/20,Butte,Internal Medicine - Primary,Patient Care - 10-19 Hours,3
7/1/20,Butte,Internal Medicine - Primary,Patient Care - 20-29 Hours,4
7/1/20,Butte,Internal Medicine - Primary,Patient Care - 30-39 Hours,7
7/1/20,Butte,Internal Medicine - Primary,Patient Care - 40+ Hours,19
7/1/20,Butte,Internal Medicine - Primary,Patient Care - None,2
7/1/20,Butte,Nephrology - Primary,Patient Care - 40+ Hours,6
7/1/20,Butte,Neurology - Primary,Patient Care - 40+ Hours,5
7/1/20,Butte,Neurology - Primary,Patient Care - None,1
7/1/20,Butte,No Response,No Response,15
7/1/20,Butte,No Response,Patient Care - 1-9 Hours,2
7/1/20,Butte,No Response,Patient Care - 10-19 Hours,1
7/1/20,Butte,No Response,Patient Care - 20-29 Hours,6
7/1/20,Butte,No Response,Patient Care - 30-39 Hours,17
7/1/20,Butte,No Response,Patient Care - 40+ Hours,36
7/1/20,Butte,No Response,Patient Care - None,12
7/1/20,Butte,Obstetrics and Gynecology - Primary,Patient Care - 10-19 Hours,2
7/1/20,Butte,Obstetrics and Gynecology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Butte,Obstetrics and Gynecology - Primary,Patient Care - 30-39 Hours,5
7/1/20,Butte,Obstetrics and Gynecology - Primary,Patient Care - 40+ Hours,9
7/1/20,Butte,Obstetrics and Gynecology - Primary,Patient Care - None,2
7/1/20,Butte,Oncology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Butte,Oncology - Primary,Patient Care - 40+ Hours,7
7/1/20,Butte,Ophthalmology - Primary,Patient Care - 20-29 Hours,3
7/1/20,Butte,Ophthalmology - Primary,Patient Care - 30-39 Hours,4
7/1/20,Butte,Ophthalmology - Primary,Patient Care - 40+ Hours,7
7/1/20,Butte,Ophthalmology - Primary,Patient Care - None,4
7/1/20,Butte,Orthopedic Surgery - Primary,Patient Care - 10-19 Hours,1
7/1/20,Butte,Orthopedic Surgery - Primary,Patient Care - 30-39 Hours,12
7/1/20,Butte,Orthopedic Surgery - Primary,Patient Care - 40+ Hours,7
7/1/20,Butte,Otolaryngology - Primary,Patient Care - 10-19 Hours,1
7/1/20,Butte,Otolaryngology - Primary,Patient Care - 40+ Hours,4
7/1/20,Butte,Pathology - Primary,Patient Care - 20-29 Hours,1
7/1/20,Butte,Pathology - Primary,Patient Care - 30-39 Hours,5
7/1/20,Butte,Pathology - Primary,Patient Care - 40+ Hours,3
7/1/20,Butte,Pathology - Primary,Patient Care - None,2
7/1/20,Butte,Pediatrics - Primary,Patient Care - 20-29 Hours,2
7/1/20,Butte,Pediatrics - Primary,Patient Care - 30-39 Hours,8
7/1/20,Butte,Pediatrics - Primary,Patient Care - 40+ Hours,9
7/1/20,Butte,Pediatrics - Primary,Patient Care - None,3
7/1/20,Butte,Physical Medicine and Rehabilitation - Primary,Patient Care - 20-29 Hours,1
7/1/20,Butte,Physical Medicine and Rehabilitation - Primary,Patient Care - 30-39 Hours,2
7/1/20,Butte,Physical Medicine and Rehabilitation - Primary,Patient Care - 40+ Hours,3
7/1/20,Butte,Plastic Surgery - Primary,Patient Care - 30-39 Hours,1
7/1/20,Butte,Psychiatry - Primary,Patient Care - 1-9 Hours,2
7/1/20,Butte,Psychiatry - Primary,Patient Care - 10-19 Hours,1
7/1/20,Butte,Psychiatry - Primary,Patient Care - 20-29 Hours,1
7/1/20,Butte,Psychiatry - Primary,Patient Care - 30-39 Hours,3
7/1/20,Butte,Psychiatry - Primary,Patient Care - 40+ Hours,7
7/1/20,Butte,Psychiatry - Primary,Patient Care - None,2
7/1/20,Butte,Pulmonary - Primary,Patient Care - 1-9 Hours,1
7/1/20,Butte,Pulmonary - Primary,Patient Care - 20-29 Hours,1
7/1/20,Butte,Pulmonary - Primary,Patient Care - 40+ Hours,2
7/1/20,Butte,Radiology - Primary,No Response,1
7/1/20,Butte,Radiology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Butte,Radiology - Primary,Patient Care - 40+ Hours,17
7/1/20,Butte,Radiology - Primary,Patient Care - None,1
7/1/20,Butte,Urology - Primary,Patient Care - 40+ Hours,4
7/1/20,Butte,Urology - Primary,Patient Care - None,1
7/1/20,Calaveras,All Other Specialties,Patient Care - 30-39 Hours,1
7/1/20,Calaveras,All Other Specialties,Patient Care - 40+ Hours,1
7/1/20,Calaveras,All Other Specialties,Patient Care - None,1
7/1/20,Calaveras,Anesthesiology - Primary,Patient Care - 1-9 Hours,1
7/1/20,Calaveras,Anesthesiology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Calaveras,Anesthesiology - Primary,Patient Care - 40+ Hours,1
7/1/20,Calaveras,Anesthesiology - Primary,Patient Care - None,1
7/1/20,Calaveras,Emergency Medicine - Primary,Patient Care - 10-19 Hours,1
7/1/20,Calaveras,Emergency Medicine - Primary,Patient Care - 40+ Hours,1
7/1/20,Calaveras,Emergency Medicine - Primary,Patient Care - None,2
7/1/20,Calaveras,Family Medicine - Primary,Patient Care - 20-29 Hours,2
7/1/20,Calaveras,Family Medicine - Primary,Patient Care - 30-39 Hours,2
7/1/20,Calaveras,Family Medicine - Primary,Patient Care - 40+ Hours,4
7/1/20,Calaveras,General Practice - Primary,Patient Care - 30-39 Hours,1
7/1/20,Calaveras,General Practice - Primary,Patient Care - None,1
7/1/20,Calaveras,General Surgery - Primary,Patient Care - 40+ Hours,1
7/1/20,Calaveras,Internal Medicine - Primary,Patient Care - 1-9 Hours,1
7/1/20,Calaveras,Internal Medicine - Primary,Patient Care - 10-19 Hours,1
7/1/20,Calaveras,Internal Medicine - Primary,Patient Care - 30-39 Hours,1
7/1/20,Calaveras,Internal Medicine - Primary,Patient Care - 40+ Hours,3
7/1/20,Calaveras,No Response,No Response,2
7/1/20,Calaveras,No Response,Patient Care - 1-9 Hours,1
7/1/20,Calaveras,No Response,Patient Care - 10-19 Hours,1
7/1/20,Calaveras,No Response,Patient Care - 30-39 Hours,1
7/1/20,Calaveras,No Response,Patient Care - 40+ Hours,8
7/1/20,Calaveras,Obstetrics and Gynecology - Primary,Patient Care - 40+ Hours,2
7/1/20,Calaveras,Ophthalmology - Primary,Patient Care - 30-39 Hours,1
7/1/20,Calaveras,Orthopedic Surgery - Primary,Patient Care - 30-39 Hours,1
7/1/20,Calaveras,Orthopedic Surgery - Primary,Patient Care - 40+ Hours,1
7/1/20,Calaveras,Pediatrics - Primary,Patient Care - 20-29 Hours,2
7/1/20,Calaveras,Pediatrics - Primary,Patient Care - 40+ Hours,1
7/1/20,Calaveras,Psychiatry - Primary,Patient Care - 20-29 Hours,1
7/1/20,Calaveras,Psychiatry - Primary,Patient Care - 30-39 Hours,1
7/1/20,Calaveras,Psychiatry - Primary,Patient Care - 40+ Hours,1
7/1/20,Calaveras,Psychiatry - Primary,Patient Care - None,1
7/1/20,Calaveras,Radiology - Primary,Patient Care - 1-9 Hours,1
7/1/20,Calaveras,Radiology - Primary,Patient Care - None,1
7/1/20,Colusa,Family Medicine - Primary,Patient Care - 30-39 Hours,3
7/1/20,Colusa,Family Medicine - Primary,Patient Care - 40+ Hours,2
7/1/20,Colusa,General Practice - Primary,Patient Care - 20-29 Hours,1
7/1/20,Colusa,General Practice - Primary,Patient Care - 40+ Hours,1
7/1/20,Colusa,No Response,No Response,1
7/1/20,Colusa,No Response,Patient Care - 1-9 Hours,1
7/1/20,Colusa,No Response,Patient Care - 30-39 Hours,1
7/1/20,Colusa,Orthopedic Surgery - Primary,Patient Care - 40+ Hours,1
7/1/20,Contra Costa,All Other Specialties,No Response,5
7/1/20,Contra Costa,All Other Specialties,Patient Care - 1-9 Hours,33
7/1/20,Contra Costa,All Other Specialties,Patient Care - 10-19 Hours,29
7/1/20,Contra Costa,All Other Specialties,Patient Care - 20-29 Hours,35
7/1/20,Contra Costa,All Other Specialties,Patient Care - 30-39 Hours,69
7/1/20,Contra Costa,All Other Specialties,Patient Care - 40+ Hours,125
7/1/20,Contra Costa,All Other Specialties,Patient Care - None,52
7/1/20,Contra Costa,Anesthesiology - Primary,Patient Care - 1-9 Hours,3
7/1/20,Contra Costa,Anesthesiology - Primary,Patient Care - 10-19 Hours,9
7/1/20,Contra Costa,Anesthesiology - Primary,Patient Care - 20-29 Hours,11
7/1/20,Contra Costa,Anesthesiology - Primary,Patient Care - 30-39 Hours,29
